Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,2.27%,19.95%,7.65%,-13.33%,15.98%,1.65%,18.82%,19.82%,7.41%,25.76%,7.81%
Daily Sharpe,0.09,0.63,0.26,-0.45,0.51,0.07,0.59,0.62,0.26,0.79,0.27
CAGR,0.41%,3.38%,1.36%,-2.58%,2.75%,0.30%,3.20%,3.36%,1.32%,4.28%,1.38%
Max Drawdown,-21.60%,-15.50%,-17.20%,-27.19%,-20.06%,-15.05%,-16.15%,-21.19%,-19.85%,-14.21%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.53%,-1.58%,-0.51%,-2.28%,-0.75%,-1.64%,-1.73%,-1.05%,-0.90%,-0.76%,-1.48%
3m,-8.28%,-7.06%,-7.86%,-7.09%,-5.73%,-6.00%,-6.44%,-5.95%,-7.36%,-5.58%,-7.87%
6m,-14.91%,-10.41%,-12.85%,-11.56%,-12.69%,-10.73%,-11.65%,-9.64%,-13.28%,-10.69%,-13.88%
YTD,-13.87%,-9.92%,-11.87%,-10.48%,-11.62%,-9.97%,-10.57%,-8.79%,-12.21%,-9.60%,-12.51%
