Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,8.66%,11.70%,12.58%,30.12%,39.73%,15.26%,11.97%,43.87%,37.59%,33.87%,7.81%
Daily Sharpe,0.29,0.39,0.41,0.90,1.15,0.49,0.40,1.25,1.09,1.00,0.27
CAGR,1.53%,2.04%,2.19%,4.93%,6.30%,2.63%,2.09%,6.87%,6.00%,5.47%,1.38%
Max Drawdown,-14.13%,-13.54%,-14.00%,-14.11%,-11.66%,-14.30%,-12.74%,-14.56%,-12.06%,-12.95%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.55%,-2.30%,-1.61%,-0.83%,-0.47%,-1.35%,-0.86%,-1.06%,0.36%,-0.54%,-1.48%
3m,-6.39%,-4.40%,-5.16%,-2.82%,-2.17%,-3.89%,-3.75%,-6.71%,-3.57%,-3.50%,-7.87%
6m,-9.97%,-7.17%,-10.66%,-6.72%,-8.23%,-6.99%,-6.87%,-10.35%,-7.46%,-9.25%,-13.88%
YTD,-9.05%,-7.15%,-10.36%,-7.07%,-7.22%,-7.60%,-6.54%,-9.35%,-6.49%,-8.43%,-12.51%
