Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-60.53%,-64.58%,-54.89%,-67.93%,-61.57%,-65.54%,-67.11%,-64.37%,-65.80%,-63.44%,7.81%
Daily Sharpe,-3.04,-3.38,-2.56,-3.68,-3.07,-3.42,-3.61,-3.35,-3.50,-3.24,0.27
CAGR,-15.62%,-17.28%,-13.54%,-18.76%,-16.03%,-17.69%,-18.39%,-17.19%,-17.80%,-16.80%,1.38%
Max Drawdown,-61.45%,-65.01%,-55.37%,-68.75%,-61.82%,-65.58%,-67.20%,-65.13%,-66.04%,-63.47%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.93%,-1.23%,0.36%,-2.32%,-1.02%,-1.65%,-1.03%,-0.82%,-1.71%,-0.63%,-1.48%
3m,-5.48%,-3.75%,-3.46%,-4.92%,-3.51%,-6.07%,-6.97%,-2.30%,-2.47%,-3.37%,-7.87%
6m,-10.80%,-6.50%,-8.83%,-10.99%,-6.09%,-10.97%,-11.12%,-6.31%,-8.97%,-9.39%,-13.88%
YTD,-9.41%,-5.88%,-9.24%,-10.23%,-5.25%,-11.17%,-10.01%,-6.24%,-7.96%,-8.89%,-12.51%
