Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,149.80%,168.64%,120.62%,158.86%,125.13%,126.09%,141.66%,148.81%,134.28%,86.72%,7.81%
Daily Sharpe,3.08,3.37,2.66,3.22,2.74,2.75,2.97,3.07,2.87,2.08,0.27
CAGR,18.21%,19.79%,15.56%,18.98%,15.98%,16.07%,17.49%,18.12%,16.83%,12.09%,1.38%
Max Drawdown,-5.45%,-4.45%,-6.24%,-4.47%,-7.00%,-7.22%,-7.40%,-8.06%,-5.06%,-6.88%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.98%,1.37%,-1.07%,1.76%,0.29%,1.16%,2.24%,-2.19%,0.61%,1.40%,-1.48%
3m,-0.40%,3.91%,-0.59%,3.07%,2.02%,-0.16%,0.95%,-3.34%,2.29%,0.41%,-7.87%
6m,2.24%,4.28%,0.73%,1.91%,1.94%,1.22%,1.84%,-5.43%,0.10%,2.21%,-13.88%
YTD,2.87%,3.13%,0.41%,3.16%,1.70%,1.38%,1.52%,-6.37%,-0.89%,1.88%,-12.51%
1Y,15.87%,21.04%,14.96%,12.45%,16.17%,9.04%,19.75%,7.30%,10.05%,11.71%,-10.57%
