Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,208.56%,124.59%,178.49%,139.28%,121.33%,148.82%,54.69%,181.38%,184.52%,129.83%,7.81%
Daily Sharpe,3.85,2.74,3.51,2.96,2.68,3.08,1.47,3.54,3.56,2.82,0.27
CAGR,22.86%,15.93%,20.58%,17.28%,15.62%,18.12%,8.30%,20.81%,21.05%,16.42%,1.38%
Max Drawdown,-6.66%,-4.95%,-6.99%,-5.05%,-5.78%,-7.01%,-11.31%,-6.28%,-5.96%,-8.77%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.07%,0.27%,-2.25%,-2.39%,1.06%,-1.43%,-1.30%,0.17%,-0.74%,1.76%,-1.48%
3m,4.16%,4.46%,4.44%,0.99%,2.17%,-2.78%,-3.65%,3.58%,4.35%,6.25%,-7.87%
6m,7.11%,1.90%,7.96%,0.82%,0.91%,-6.08%,-7.39%,5.02%,8.03%,4.97%,-13.88%
YTD,7.20%,1.99%,9.05%,1.30%,-0.08%,-5.18%,-7.65%,5.68%,7.69%,6.26%,-12.51%
1Y,18.36%,13.12%,21.18%,14.65%,9.26%,7.15%,-2.30%,20.38%,27.93%,12.53%,-10.57%
