Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,7.76%,8.49%,7.15%,7.76%,7.76%,39.72%,7.67%,7.59%,7.76%,11.12%,7.81%
Daily Sharpe,0.27,0.29,0.25,0.27,0.27,1.14,0.26,0.26,0.27,0.37,0.27
CAGR,1.38%,1.50%,1.27%,1.38%,1.38%,6.30%,1.36%,1.35%,1.38%,1.95%,1.38%
Max Drawdown,-22.35%,-22.02%,-22.35%,-22.35%,-22.35%,-11.06%,-22.42%,-22.35%,-22.35%,-20.56%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-0.81%,-1.73%,-1.73%,-1.73%,-2.04%,-1.48%
3m,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-5.66%,-8.07%,-8.07%,-8.07%,-8.36%,-7.87%
6m,-14.10%,-13.73%,-14.10%,-14.10%,-14.10%,-8.37%,-14.10%,-14.10%,-14.10%,-14.71%,-13.88%
YTD,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-8.12%,-13.05%,-13.05%,-13.05%,-13.52%,-12.51%
