Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-62.08%,-66.71%,-54.15%,-67.96%,-60.89%,-64.80%,-64.86%,-64.93%,-65.83%,-64.12%,7.81%
Daily Sharpe,-3.12,-3.54,-2.51,-3.67,-3.02,-3.36,-3.37,-3.37,-3.46,-3.30,0.27
CAGR,-16.24%,-18.20%,-13.28%,-18.77%,-15.76%,-17.37%,-17.39%,-17.42%,-17.82%,-17.08%,1.38%
Max Drawdown,-62.70%,-67.12%,-54.65%,-68.68%,-61.11%,-64.86%,-64.97%,-65.67%,-66.13%,-64.12%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-2.02%,-1.33%,0.36%,-2.02%,-1.31%,-1.94%,-0.44%,-1.41%,-1.51%,-0.93%,-1.48%
3m,-5.47%,-4.32%,-2.87%,-3.95%,-4.36%,-6.16%,-5.55%,-3.17%,-2.85%,-3.84%,-7.87%
6m,-10.88%,-7.79%,-7.43%,-9.99%,-6.73%,-10.78%,-9.76%,-6.77%,-9.69%,-9.29%,-13.88%
YTD,-9.58%,-7.37%,-7.95%,-9.32%,-5.99%,-11.07%,-8.73%,-6.89%,-8.59%,-8.97%,-12.51%
