Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,23.16%,23.86%,24.32%,28.60%,36.48%,38.82%,33.38%,28.14%,44.74%,29.47%,7.81%
Daily Sharpe,0.72,0.73,0.75,0.86,1.06,1.12,0.99,0.85,1.27,0.88,0.27
CAGR,3.88%,3.99%,4.06%,4.70%,5.85%,6.18%,5.40%,4.63%,6.99%,4.83%,1.38%
Max Drawdown,-13.50%,-12.38%,-13.83%,-13.56%,-14.13%,-12.50%,-13.11%,-15.45%,-14.98%,-10.57%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.50%,0.52%,-1.95%,-1.43%,-1.84%,-0.79%,0.89%,-2.25%,-1.24%,-1.33%,-1.48%
3m,-6.39%,-4.67%,-6.49%,-6.53%,-6.94%,-6.33%,-3.94%,-7.30%,-6.49%,-4.98%,-7.87%
6m,-10.95%,-8.90%,-11.22%,-12.74%,-11.60%,-10.08%,-7.43%,-12.28%,-11.50%,-8.63%,-13.88%
YTD,-10.50%,-8.60%,-10.73%,-12.35%,-10.97%,-9.57%,-7.67%,-12.77%,-11.66%,-8.38%,-12.51%
