Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,1.63%,-4.87%,-15.05%,-18.16%,-22.14%,3.29%
Daily Sharpe,0.29,-0.45,-1.75,-2.18,-2.77,0.48
CAGR,6.13%,-16.81%,-45.21%,-52.26%,-60.27%,12.67%
Max Drawdown,-9.16%,-20.90%,-20.32%,-25.84%,-26.08%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-2.31%,3.94%,-1.35%,1.86%,-2.12%,4.43%
3m,1.22%,-7.84%,-15.35%,-19.14%,-20.52%,-3.07%
6m,-,-,-,-,-,-
YTD,1.63%,-4.87%,-15.05%,-18.16%,-22.14%,3.29%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),6.13%,-16.81%,-45.21%,-52.26%,-60.27%,12.67%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.29,-0.45,-1.75,-2.18,-2.77,0.48
Daily Mean (ann.),6.57%,-10.20%,-39.02%,-48.53%,-61.20%,10.71%
Daily Vol (ann.),22.42%,22.42%,22.29%,22.21%,22.09%,22.41%
Daily Skew,0.88,-0.47,0.52,0.34,0.72,0.10
Daily Kurt,1.84,1.86,2.20,2.18,2.55,1.91
Best Day,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%
Worst Day,-2.72%,-4.60%,-4.60%,-4.21%,-4.21%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.70,-1.95,-5.30,-2.25,-1.72,-0.25
Monthly Mean (ann.),-7.22%,-44.78%,-43.33%,-44.77%,-65.33%,-3.52%
Monthly Vol (ann.),10.25%,23.02%,8.18%,19.94%,37.98%,14.23%
Monthly Skew,1.73,1.73,-0.35,-0.24,-1.24,1.66
Monthly Kurt,-,-,-,-,-,-
Best Month,2.82%,3.94%,-1.35%,1.86%,3.47%,4.43%
Worst Month,-2.31%,-7.63%,-6.06%,-9.64%,-17.68%,-3.05%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.15%,-11.13%,-7.70%,-14.09%,-10.97%,-6.90%
Avg. Drawdown Days,23.25,43.00,31.67,46.50,23.75,30.67
Avg. Up Month,2.82%,3.94%,-,1.86%,3.47%,4.43%
Avg. Down Month,-2.31%,-7.57%,-3.61%,-6.53%,-9.90%,-2.65%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
