Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,82.32%,110.15%,90.05%,82.66%,100.62%,86.87%,106.35%,89.80%,96.71%,91.93%,7.81%
Daily Sharpe,2.05,2.55,2.20,2.06,2.39,2.14,2.49,2.19,2.32,2.23,0.27
CAGR,11.60%,14.53%,12.45%,11.64%,13.57%,12.10%,14.15%,12.42%,13.16%,12.65%,1.38%
Max Drawdown,-6.64%,-4.43%,-6.99%,-6.36%,-8.09%,-8.21%,-6.62%,-9.08%,-8.38%,-6.87%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.40%,0.60%,-2.06%,0.19%,-1.16%,0.40%,1.69%,-2.10%,-0.59%,-0.54%,-1.48%
3m,-4.11%,-0.79%,-3.28%,-2.31%,-5.94%,-1.77%,-2.51%,-5.72%,-3.59%,-1.78%,-7.87%
6m,-3.71%,-2.11%,-5.59%,-5.24%,-7.12%,-2.31%,-3.88%,-7.11%,-7.24%,-4.23%,-13.88%
YTD,-3.99%,-2.49%,-5.35%,-4.95%,-7.18%,-2.15%,-3.95%,-8.31%,-7.95%,-4.30%,-12.51%
