Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,158.28%,126.23%,171.03%,119.71%,168.44%,95.18%,134.91%,153.10%,76.33%,187.83%,7.81%
Daily Sharpe,3.30,2.82,3.48,2.71,3.44,2.29,2.95,3.23,1.94,3.70,0.27
CAGR,18.93%,16.09%,19.98%,15.47%,19.77%,13.00%,16.89%,18.49%,10.92%,21.31%,1.38%
Max Drawdown,-4.68%,-8.69%,-5.22%,-8.31%,-5.48%,-7.58%,-4.68%,-11.35%,-11.69%,-4.48%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.33%,-1.79%,-0.29%,-1.06%,-1.23%,-2.18%,0.64%,-1.73%,-0.37%,0.66%,-1.48%
3m,-0.57%,-6.01%,-2.50%,-6.18%,-1.44%,-4.89%,-0.79%,-6.22%,-3.46%,4.30%,-7.87%
6m,-2.80%,-8.40%,-4.03%,-7.73%,-0.95%,-7.29%,-3.00%,-10.41%,-8.25%,1.81%,-13.88%
YTD,-2.98%,-7.47%,-3.18%,-7.05%,-1.02%,-7.02%,-2.31%,-9.31%,-7.60%,2.46%,-12.51%
