Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,12.12%,49.77%,18.86%,8.12%,53.65%,61.37%,59.16%,48.34%,15.84%,48.28%,7.81%
Daily Sharpe,0.40,1.37,0.59,0.28,1.46,1.63,1.58,1.34,0.51,1.34,0.27
CAGR,2.11%,7.66%,3.21%,1.44%,8.16%,9.14%,8.86%,7.47%,2.72%,7.46%,1.38%
Max Drawdown,-20.33%,-11.87%,-16.15%,-17.28%,-18.02%,-8.56%,-10.59%,-16.06%,-16.35%,-11.63%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.19%,-1.23%,-0.27%,-1.84%,-0.50%,-0.80%,-0.08%,-0.50%,-0.80%,-0.51%,-1.48%
3m,-7.64%,-5.79%,-7.07%,-5.87%,-4.78%,-2.50%,-1.78%,-4.57%,-6.85%,-3.84%,-7.87%
6m,-13.93%,-7.69%,-11.44%,-9.87%,-11.47%,-4.97%,-4.32%,-6.99%,-11.73%,-7.89%,-13.88%
YTD,-12.87%,-7.45%,-10.67%,-8.76%,-10.38%,-4.26%,-3.14%,-6.15%,-10.64%,-6.76%,-12.51%
