Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,109.47%,143.16%,115.38%,19.95%,112.80%,93.47%,126.69%,112.72%,98.69%,79.43%,7.81%
Daily Sharpe,2.54,3.08,2.64,0.62,2.60,2.26,2.82,2.60,2.35,2.00,0.27
CAGR,14.47%,17.63%,15.05%,3.38%,14.80%,12.82%,16.13%,14.79%,13.37%,11.27%,1.38%
Max Drawdown,-8.01%,-3.83%,-3.90%,-14.60%,-5.24%,-4.10%,-4.00%,-3.74%,-6.08%,-7.47%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.06%,0.26%,0.34%,-2.07%,0.88%,-0.21%,0.27%,-0.52%,-0.21%,0.17%,-1.48%
3m,3.47%,0.84%,0.05%,-5.24%,3.59%,-0.53%,0.39%,1.17%,0.21%,-1.97%,-7.87%
6m,0.27%,-1.20%,-0.18%,-10.46%,2.72%,-0.61%,-1.62%,0.70%,2.22%,-4.24%,-13.88%
YTD,-0.22%,-1.47%,-0.71%,-10.31%,2.70%,-0.53%,-1.69%,0.69%,1.66%,-3.31%,-12.51%
1Y,12.45%,12.36%,10.27%,-4.74%,14.47%,7.65%,6.44%,13.31%,12.07%,5.92%,-10.57%
