Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-85.39%,-86.72%,-83.47%,-88.20%,-86.06%,-87.35%,-88.64%,-87.20%,-87.39%,-85.96%,7.81%
Daily Sharpe,-5.99,-6.26,-5.46,-6.53,-5.95,-6.24,-6.70,-6.33,-6.42,-5.96,0.27
CAGR,-29.63%,-30.85%,-28.02%,-32.33%,-30.23%,-31.46%,-32.79%,-31.31%,-31.50%,-30.14%,1.38%
Max Drawdown,-85.58%,-86.76%,-83.54%,-88.45%,-86.07%,-87.35%,-88.67%,-87.44%,-87.45%,-85.96%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.00%,-2.42%,-0.74%,-3.58%,-2.10%,-2.53%,-2.51%,-1.61%,-2.59%,-1.72%,-1.48%
3m,-9.83%,-8.00%,-8.55%,-9.93%,-7.68%,-9.85%,-11.52%,-6.61%,-6.21%,-7.26%,-7.87%
6m,-18.34%,-14.57%,-18.02%,-19.48%,-14.11%,-18.08%,-19.60%,-14.39%,-16.16%,-17.37%,-13.88%
YTD,-16.57%,-13.40%,-17.90%,-18.39%,-13.17%,-17.86%,-18.10%,-13.82%,-14.88%,-16.41%,-12.51%
