Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,135.85%,149.15%,104.79%,107.18%,75.99%,90.09%,92.61%,98.53%,83.76%,58.88%,7.81%
Daily Sharpe,2.81,3.06,2.37,2.41,1.84,2.11,2.14,2.26,2.00,1.51,0.27
CAGR,16.97%,18.15%,13.99%,14.24%,10.88%,12.45%,12.72%,13.35%,11.76%,8.83%,1.38%
Max Drawdown,-7.32%,-7.39%,-6.23%,-5.63%,-8.38%,-7.89%,-7.81%,-9.38%,-7.33%,-13.32%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.65%,1.43%,1.43%,0.98%,-0.22%,0.86%,1.74%,-2.24%,-0.64%,0.29%,-1.48%
3m,0.30%,3.89%,-1.90%,-0.28%,-0.69%,-3.34%,5.02%,-2.42%,-3.07%,0.01%,-7.87%
6m,3.66%,3.32%,-0.03%,-1.84%,-0.67%,-2.54%,2.29%,-5.62%,-6.07%,-0.57%,-13.88%
YTD,4.75%,3.13%,0.24%,-0.64%,-0.89%,-1.51%,2.56%,-6.46%,-5.82%,-0.79%,-12.51%
1Y,20.76%,16.08%,16.53%,10.19%,6.94%,4.70%,15.80%,2.75%,4.96%,5.80%,-10.57%
