Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-12.74%,-22.49%,0.54%,-28.74%,-13.64%,-23.30%,-23.14%,-19.30%,-24.14%,-21.52%,7.81%
Daily Sharpe,-0.43,-0.83,0.04,-1.11,-0.47,-0.86,-0.85,-0.69,-0.90,-0.78,0.27
CAGR,-2.46%,-4.55%,0.10%,-6.00%,-2.64%,-4.73%,-4.69%,-3.84%,-4.92%,-4.33%,1.38%
Max Drawdown,-15.44%,-28.05%,-13.58%,-33.40%,-18.75%,-23.87%,-23.82%,-23.09%,-25.14%,-24.21%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.06%,-0.28%,1.24%,-1.29%,-0.14%,-0.94%,0.16%,-0.18%,-1.00%,0.25%,-1.48%
3m,-1.85%,-0.22%,0.81%,-0.71%,-0.04%,-2.94%,-3.16%,1.28%,0.63%,-0.14%,-7.87%
6m,-4.28%,0.49%,-0.75%,-3.56%,0.85%,-4.85%,-3.70%,0.69%,-2.79%,-2.46%,-13.88%
YTD,-3.26%,0.59%,-1.68%,-3.13%,1.59%,-5.44%,-2.97%,0.28%,-2.03%,-2.39%,-12.51%
