Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,277.03%,145.51%,227.68%,323.88%,329.87%,225.80%,323.08%,266.92%,334.42%,265.58%,7.81%
Daily Sharpe,4.61,3.06,4.09,5.06,5.11,4.07,5.05,4.51,5.15,4.50,0.27
CAGR,27.44%,17.83%,24.22%,30.20%,30.53%,24.09%,30.15%,26.81%,30.78%,26.73%,1.38%
Max Drawdown,-4.67%,-5.90%,-7.17%,-3.07%,-2.43%,-3.90%,-3.29%,-4.79%,-4.00%,-5.69%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.19%,0.47%,-1.73%,1.55%,1.59%,0.92%,2.14%,1.76%,1.74%,1.03%,-1.48%
3m,0.37%,2.21%,4.51%,8.28%,7.00%,3.00%,6.91%,6.92%,4.92%,6.81%,-7.87%
6m,-1.85%,2.98%,2.53%,12.49%,13.18%,4.93%,12.92%,8.25%,9.30%,12.47%,-13.88%
YTD,-1.75%,3.47%,3.78%,12.09%,11.97%,3.81%,11.71%,7.82%,10.56%,11.11%,-12.51%
1Y,10.78%,17.54%,9.80%,31.27%,29.98%,20.18%,27.82%,21.90%,28.37%,28.21%,-10.57%
