Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,218.48%,213.39%,190.55%,217.58%,204.48%,191.96%,202.96%,237.63%,231.08%,167.29%,7.81%
Daily Sharpe,3.98,3.93,3.65,3.98,3.83,3.67,3.80,4.20,4.13,3.36,0.27
CAGR,23.57%,23.21%,21.52%,23.51%,22.56%,21.62%,22.45%,24.90%,24.45%,19.68%,1.38%
Max Drawdown,-3.69%,-3.94%,-5.19%,-3.80%,-3.80%,-6.09%,-3.90%,-4.83%,-3.38%,-4.91%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.22%,1.37%,-0.83%,1.55%,-0.59%,1.59%,2.32%,-1.89%,1.49%,0.16%,-1.48%
3m,-0.96%,3.38%,0.93%,1.56%,1.42%,0.58%,3.63%,-3.74%,3.32%,0.31%,-7.87%
6m,2.69%,2.35%,2.72%,3.79%,3.20%,3.41%,4.74%,-1.10%,3.90%,3.12%,-13.88%
YTD,2.30%,1.13%,2.31%,3.41%,2.71%,2.16%,4.32%,-2.15%,2.64%,2.70%,-12.51%
1Y,20.84%,16.94%,20.13%,19.05%,21.30%,15.98%,21.99%,14.28%,16.50%,15.26%,-10.57%
