Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,198.71%,279.28%,158.83%,184.52%,234.89%,149.11%,185.76%,177.53%,182.89%,124.86%,7.81%
Daily Sharpe,3.75,4.63,3.24,3.58,4.17,3.11,3.59,3.49,3.56,2.75,0.27
CAGR,22.13%,27.58%,18.98%,21.05%,24.71%,18.15%,21.15%,20.50%,20.93%,15.96%,1.38%
Max Drawdown,-3.36%,-3.13%,-4.02%,-4.42%,-3.62%,-4.61%,-3.62%,-4.68%,-4.02%,-4.51%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.65%,0.70%,0.49%,0.63%,1.29%,0.82%,0.10%,0.46%,0.35%,0.10%,-1.48%
3m,2.65%,6.73%,0.39%,2.27%,4.75%,3.13%,4.74%,3.43%,0.35%,1.25%,-7.87%
6m,6.15%,8.22%,3.99%,3.71%,10.14%,8.46%,7.65%,5.43%,4.29%,2.85%,-13.88%
YTD,6.01%,7.70%,3.76%,3.50%,9.25%,7.83%,7.20%,5.68%,3.69%,2.91%,-12.51%
1Y,23.53%,28.53%,16.53%,19.43%,26.13%,24.70%,16.39%,16.28%,20.96%,15.47%,-10.57%
