Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,22.93%,86.98%,31.23%,34.86%,113.77%,158.98%,91.54%,83.64%,30.54%,82.42%,7.81%
Daily Sharpe,0.71,2.12,0.92,1.01,2.57,3.24,2.20,2.05,0.91,2.03,0.27
CAGR,3.84%,12.11%,5.09%,5.62%,14.89%,18.99%,12.61%,11.75%,4.99%,11.61%,1.38%
Max Drawdown,-19.05%,-8.30%,-15.10%,-13.95%,-13.11%,-6.10%,-7.48%,-11.54%,-13.81%,-9.25%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.84%,-0.88%,-0.02%,-1.40%,-0.11%,0.05%,0.27%,0.05%,-0.70%,-0.27%,-1.48%
3m,-6.99%,-4.51%,-6.28%,-4.64%,-2.63%,1.12%,0.03%,-3.18%,-5.81%,-1.70%,-7.87%
6m,-12.93%,-4.88%,-10.02%,-8.14%,-7.02%,1.16%,-1.63%,-4.25%,-9.62%,-4.70%,-13.88%
YTD,-11.86%,-4.92%,-9.46%,-7.01%,-5.65%,1.81%,-0.42%,-3.44%,-8.51%,-3.53%,-12.51%
