Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,44.21%,18.14%,60.22%,22.29%,41.98%,7.76%,34.50%,62.56%,60.70%,7.76%,7.81%
Daily Sharpe,1.13,0.51,1.50,0.63,1.08,0.27,0.94,1.49,1.50,0.27,0.27
CAGR,6.92%,3.09%,8.99%,3.75%,6.61%,1.38%,5.56%,9.28%,9.05%,1.38%,1.38%
Max Drawdown,-12.71%,-18.93%,-8.11%,-13.93%,-14.82%,-22.35%,-10.17%,-11.34%,-13.23%,-22.35%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.15%,-1.22%,-2.46%,-2.69%,0.96%,-1.73%,1.19%,1.75%,1.19%,-1.73%,-1.48%
3m,0.12%,-1.43%,-4.20%,-5.92%,3.00%,-8.07%,1.75%,-0.40%,7.81%,-8.07%,-7.87%
6m,-1.40%,-2.86%,-0.36%,-4.10%,-0.25%,-14.10%,2.57%,-4.82%,12.54%,-14.10%,-13.88%
YTD,0.33%,-2.87%,-1.16%,-3.36%,-0.94%,-13.05%,2.85%,-2.89%,11.19%,-13.05%,-12.51%
