Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-98.01%,-98.14%,-97.79%,-98.41%,-98.17%,-98.30%,-98.65%,-98.36%,-98.30%,-97.94%,7.81%
Daily Sharpe,-10.24,-10.35,-9.61,-10.54,-10.01,-10.19,-11.08,-10.56,-10.55,-9.78,0.27
CAGR,-51.10%,-51.72%,-50.17%,-53.09%,-51.88%,-52.52%,-54.47%,-52.80%,-52.48%,-50.80%,1.38%
Max Drawdown,-98.01%,-98.14%,-97.80%,-98.44%,-98.17%,-98.30%,-98.66%,-98.38%,-98.30%,-97.94%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-5.13%,-4.74%,-2.91%,-6.07%,-4.24%,-4.28%,-5.41%,-3.18%,-4.34%,-3.87%,-1.48%
3m,-17.97%,-15.97%,-17.96%,-19.20%,-15.50%,-16.99%,-19.98%,-14.69%,-13.28%,-14.60%,-7.87%
6m,-31.59%,-28.72%,-33.76%,-34.15%,-28.18%,-30.68%,-34.25%,-28.57%,-28.91%,-31.33%,-13.88%
YTD,-29.26%,-26.72%,-32.86%,-32.58%,-27.11%,-29.79%,-32.22%,-27.21%,-27.24%,-29.69%,-12.51%
