Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-2.01%,2.50%,-3.50%,4.83%,-0.68%,0.55%,-2.21%,-2.41%,5.24%,-5.93%,7.81%
Daily Sharpe,-0.05,0.10,-0.09,0.17,-0.00,0.04,-0.05,-0.06,0.19,-0.18,0.27
CAGR,-0.37%,0.45%,-0.65%,0.86%,-0.12%,0.10%,-0.41%,-0.45%,0.94%,-1.11%,1.38%
Max Drawdown,-27.81%,-28.42%,-29.95%,-24.88%,-25.91%,-23.09%,-22.94%,-26.42%,-22.79%,-26.00%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.26%,-1.73%,-1.73%,-1.75%,-1.73%,-1.48%
3m,-8.07%,-9.03%,-7.82%,-7.51%,-9.79%,-7.63%,-7.63%,-8.40%,-8.09%,-8.07%,-7.87%
6m,-14.05%,-17.02%,-14.33%,-13.58%,-15.85%,-13.69%,-12.79%,-14.22%,-14.81%,-14.20%,-13.88%
YTD,-12.99%,-16.00%,-13.28%,-12.52%,-14.82%,-12.63%,-11.70%,-13.16%,-14.80%,-13.15%,-12.51%
