Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,7.92%,4.33%,23.77%,12.89%,-12.23%,5.50%
Daily Sharpe,0.93,0.57,2.39,1.40,-1.26,0.71
CAGR,32.49%,16.93%,119.61%,56.42%,-38.20%,21.84%
Max Drawdown,-11.90%,-9.74%,-8.48%,-8.69%,-21.74%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.28%,-1.28%,-1.91%,-1.28%,-2.46%,3.57%
3m,6.87%,7.09%,31.52%,21.94%,-13.09%,-0.49%
6m,-,-,-,-,-,-
YTD,7.92%,4.33%,23.77%,12.89%,-12.23%,5.50%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),32.49%,16.93%,119.61%,56.42%,-38.20%,21.84%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.93,0.57,2.39,1.40,-1.26,0.71
Daily Mean (ann.),22.29%,13.67%,57.15%,33.74%,-30.32%,16.26%
Daily Vol (ann.),24.10%,24.12%,23.87%,24.05%,24.06%,23.07%
Daily Skew,-0.01,-0.00,0.11,0.15,0.12,0.21
Daily Kurt,1.90,1.89,1.90,1.86,1.95,1.79
Best Day,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%
Worst Day,-4.60%,-4.60%,-4.55%,-4.55%,-4.60%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.19,-0.23,3.27,3.01,-2.80,-0.76
Monthly Mean (ann.),7.95%,-1.45%,103.18%,62.33%,-79.06%,-18.17%
Monthly Vol (ann.),42.14%,6.19%,31.52%,20.69%,28.25%,23.84%
Monthly Skew,0.70,1.69,-1.73,-0.85,-1.69,-1.51
Monthly Kurt,-,-,-,-,-,-
Best Month,13.68%,1.94%,13.99%,10.50%,-1.33%,3.57%
Worst Month,-10.42%,-1.28%,-1.91%,-1.28%,-15.98%,-9.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.05%,-4.22%,-2.36%,-3.71%,-6.52%,-5.43%
Avg. Drawdown Days,12.86,9.22,8.78,9.88,18.20,22.25
Avg. Up Month,13.68%,1.94%,13.85%,8.43%,-,2.40%
Avg. Down Month,-5.85%,-1.15%,-1.91%,-1.28%,-6.59%,-9.35%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
