Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-2.43%,22.07%,-6.43%,-6.98%,3.94%,5.50%
Daily Sharpe,-0.14,2.24,-0.58,-0.64,0.53,0.71
CAGR,-8.69%,108.72%,-21.74%,-23.42%,15.31%,21.84%
Max Drawdown,-8.77%,-8.58%,-11.98%,-10.98%,-9.05%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-6.93%,-5.40%,0.51%,-3.86%,-5.80%,3.57%
3m,-1.84%,19.82%,1.44%,-6.40%,13.61%,-0.49%
6m,-,-,-,-,-,-
YTD,-2.43%,22.07%,-6.43%,-6.98%,3.94%,5.50%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),-8.69%,108.72%,-21.74%,-23.42%,15.31%,21.84%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.14,2.24,-0.58,-0.64,0.53,0.71
Daily Mean (ann.),-3.37%,53.63%,-14.03%,-15.49%,12.72%,16.26%
Daily Vol (ann.),24.14%,23.90%,24.12%,24.12%,24.13%,23.07%
Daily Skew,-0.34,0.50,0.03,-0.87,-0.28,0.21
Daily Kurt,1.88,1.67,1.90,1.75,1.93,1.79
Best Day,4.69%,4.69%,4.69%,3.73%,4.69%,4.69%
Worst Day,-4.60%,-3.73%,-4.60%,-4.69%,-4.60%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.44,0.79,-2.91,0.10,0.73,-0.76
Monthly Mean (ann.),-10.67%,18.27%,-25.17%,1.29%,23.30%,-18.17%
Monthly Vol (ann.),24.47%,23.04%,8.65%,12.36%,31.81%,23.84%
Monthly Skew,1.04,-0.40,0.44,-1.20,1.10,-1.51
Monthly Kurt,-,-,-,-,-,-
Best Month,6.88%,7.86%,0.51%,3.04%,12.09%,3.57%
Worst Month,-6.93%,-5.40%,-4.46%,-3.86%,-5.80%,-9.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-3.68%,-2.53%,-5.06%,-7.87%,-3.87%,-5.43%
Avg. Drawdown Days,10.88,6.15,18.40,47.50,14.00,22.25
Avg. Up Month,6.88%,4.99%,0.51%,2.09%,12.09%,2.40%
Avg. Down Month,-4.77%,-5.40%,-3.40%,-3.86%,-3.13%,-9.35%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
