Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-51.11%,-79.78%,-51.34%,-84.38%,-67.31%,-97.99%,0.95%,-77.47%,-23.06%,-74.16%,7.81%
Daily Sharpe,-2.04,-4.14,-2.06,-4.71,-3.04,-8.97,0.05,-3.90,-0.79,-3.59,0.27
CAGR,-12.26%,-25.33%,-12.33%,-28.77%,-18.48%,-51.01%,0.17%,-23.84%,-4.68%,-21.91%,1.38%
Max Drawdown,-51.26%,-80.15%,-52.39%,-84.67%,-68.02%,-97.99%,-24.24%,-77.96%,-37.23%,-74.64%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-4.26%,-4.30%,-2.49%,-5.75%,-2.71%,-8.12%,-1.73%,-5.32%,-1.69%,-2.73%,-1.48%
3m,-13.29%,-16.59%,-13.93%,-16.28%,-15.99%,-29.85%,-8.46%,-16.27%,-8.47%,-20.53%,-7.87%
6m,-22.41%,-29.57%,-23.34%,-24.06%,-24.25%,-46.05%,-14.47%,-27.55%,-18.02%,-31.18%,-13.88%
YTD,-21.46%,-27.45%,-20.91%,-23.13%,-23.32%,-45.15%,-13.42%,-26.57%,-17.02%,-30.33%,-12.51%
