Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,137.12%,110.43%,151.18%,67.89%,64.96%,81.28%,87.89%,33.98%,81.79%,113.30%,7.81%
Daily Sharpe,2.88,2.47,3.08,1.72,1.67,1.97,2.12,0.98,1.99,2.56,0.27
CAGR,17.09%,14.56%,18.33%,9.93%,9.58%,11.48%,12.21%,5.49%,11.54%,14.85%,1.38%
Max Drawdown,-6.72%,-4.08%,-4.55%,-10.54%,-8.80%,-8.42%,-10.30%,-12.29%,-12.53%,-9.22%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.32%,0.27%,0.53%,-1.55%,-0.62%,0.27%,-0.28%,-2.01%,0.66%,2.11%,-1.48%
3m,-2.07%,2.83%,0.80%,-6.62%,-4.63%,0.49%,-1.31%,-4.96%,1.68%,-3.22%,-7.87%
6m,-2.66%,2.47%,-0.93%,-9.27%,-6.76%,-0.25%,-3.62%,-8.90%,4.13%,-0.31%,-13.88%
YTD,-1.67%,2.87%,-0.64%,-10.17%,-6.51%,-0.53%,-2.44%,-7.78%,3.80%,-0.35%,-12.51%
1Y,3.16%,10.89%,14.85%,-2.44%,5.23%,8.77%,9.00%,-2.26%,17.53%,10.38%,-10.57%
