Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-1.08%,26.44%,1.68%,20.40%,7.35%,98.81%,45.28%,27.52%,17.95%,9.06%,7.81%
Daily Sharpe,-0.02,0.79,0.07,0.62,0.25,2.30,1.25,0.82,0.56,0.30,0.27
CAGR,-0.20%,4.38%,0.31%,3.45%,1.30%,13.38%,7.06%,4.54%,3.06%,1.60%,1.38%
Max Drawdown,-23.84%,-16.99%,-28.48%,-19.10%,-19.49%,-7.30%,-10.45%,-20.01%,-17.80%,-18.36%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.83%,1.76%,-1.63%,-0.83%,-2.39%,1.20%,-0.89%,-0.95%,-0.19%,-2.30%,-1.48%
3m,-8.83%,-2.86%,-8.47%,-8.13%,-9.83%,1.20%,-4.79%,-5.86%,-5.12%,-7.42%,-7.87%
6m,-15.51%,-9.33%,-14.25%,-14.08%,-16.01%,-0.70%,-6.97%,-8.75%,-10.27%,-10.14%,-13.88%
YTD,-14.47%,-9.52%,-13.37%,-13.21%,-14.84%,0.24%,-6.14%,-7.88%,-9.40%,-10.53%,-12.51%
