Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-14.94%,-23.09%,-11.70%,-44.32%,-19.59%,-61.05%,7.67%,-21.85%,-7.95%,-16.93%,7.81%
Daily Sharpe,-0.51,-0.83,-0.39,-1.83,-0.69,-2.91,0.26,-0.78,-0.25,-0.58,0.27
CAGR,-2.91%,-4.68%,-2.25%,-10.15%,-3.91%,-15.82%,1.36%,-4.40%,-1.50%,-3.33%,1.38%
Max Drawdown,-29.55%,-36.24%,-25.26%,-45.48%,-35.42%,-61.16%,-22.35%,-37.75%,-27.89%,-30.40%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-2.22%,-2.26%,-1.01%,-3.16%,-1.24%,-3.30%,-1.73%,-2.13%,-1.09%,-1.26%,-1.48%
3m,-9.56%,-9.54%,-9.41%,-9.47%,-8.65%,-12.62%,-8.07%,-8.64%,-7.64%,-9.55%,-7.87%
6m,-16.85%,-15.63%,-15.60%,-14.86%,-16.52%,-21.23%,-14.10%,-14.74%,-15.59%,-16.32%,-13.88%
YTD,-15.83%,-14.66%,-14.22%,-13.82%,-15.49%,-20.40%,-13.05%,-13.84%,-14.55%,-15.29%,-12.51%
