Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,159.81%,129.80%,129.14%,127.90%,82.44%,216.74%,167.59%,161.57%,143.29%,111.41%,7.81%
Daily Sharpe,3.26,2.82,2.81,2.80,2.03,3.96,3.36,3.28,3.02,2.54,0.27
CAGR,19.06%,16.42%,16.36%,16.24%,11.61%,23.45%,19.70%,19.21%,17.64%,14.66%,1.38%
Max Drawdown,-4.93%,-4.61%,-5.85%,-4.26%,-5.02%,-3.03%,-3.65%,-3.44%,-4.37%,-4.07%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.16%,0.14%,0.97%,0.22%,-0.63%,0.86%,1.28%,0.85%,1.03%,0.67%,-1.48%
3m,3.78%,-0.02%,2.08%,-0.59%,1.24%,2.30%,3.84%,4.23%,2.41%,1.39%,-7.87%
6m,6.74%,-2.21%,7.86%,-2.44%,-0.18%,5.08%,8.64%,5.97%,3.60%,0.18%,-13.88%
YTD,5.93%,-1.57%,7.30%,-2.59%,0.47%,4.14%,8.08%,5.46%,4.25%,-0.08%,-12.51%
1Y,19.45%,9.18%,23.61%,10.65%,6.09%,22.40%,25.53%,16.25%,21.84%,12.79%,-10.57%
