Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-4.70%,11.96%,-8.60%,8.38%,-5.52%,8.14%,9.87%,-21.07%,-0.16%,1.52%,8.23%
Daily Sharpe,-0.14,0.39,-0.28,0.29,-0.17,0.28,0.33,-0.77,0.01,0.07,0.28
CAGR,-0.88%,2.09%,-1.63%,1.48%,-1.03%,1.44%,1.73%,-4.23%,-0.03%,0.28%,1.46%
Max Drawdown,-12.34%,-6.73%,-17.74%,-8.88%,-11.06%,-8.44%,-10.62%,-23.58%,-8.20%,-12.59%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.11%,0.44%,0.91%,-0.10%,-1.41%,-0.49%,0.53%,1.97%,-0.17%,1.22%,0.90%
3m,0.07%,2.28%,0.92%,2.10%,-0.49%,-1.62%,3.22%,-1.90%,0.01%,-2.70%,-4.88%
6m,0.52%,1.81%,3.64%,3.09%,-0.04%,-2.97%,5.10%,-1.23%,-1.19%,0.78%,-11.40%
YTD,0.22%,3.59%,2.92%,3.76%,-0.55%,-1.67%,4.17%,-1.79%,-2.03%,-0.72%,-10.28%
