Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,342.12%,228.36%,214.54%,345.19%,263.23%,287.30%,338.92%,309.50%,297.41%,233.59%,8.23%
Daily Sharpe,5.21,4.09,3.93,5.23,4.46,4.70,5.18,4.91,4.80,4.15,0.28
CAGR,31.21%,24.26%,23.29%,31.37%,26.58%,28.07%,31.03%,29.38%,28.67%,24.62%,1.46%
Max Drawdown,-3.56%,-3.91%,-5.10%,-2.55%,-3.11%,-3.41%,-2.50%,-4.83%,-4.26%,-4.74%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,2.82%,1.08%,2.41%,3.62%,3.24%,3.81%,2.36%,2.53%,-0.08%,-0.11%,0.90%
3m,5.93%,2.91%,2.34%,8.77%,5.06%,8.88%,5.75%,5.41%,6.11%,2.41%,-4.88%
6m,11.49%,11.56%,6.34%,12.52%,9.30%,14.81%,11.87%,8.96%,13.93%,5.45%,-11.40%
YTD,10.25%,9.90%,5.16%,11.69%,7.68%,13.10%,11.04%,8.16%,12.24%,3.89%,-10.28%
1Y,27.58%,29.78%,22.81%,32.08%,28.74%,28.81%,25.63%,26.50%,23.93%,27.72%,-9.39%
