Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,286.37%,174.22%,186.97%,369.09%,152.20%,204.66%,138.65%,185.23%,170.42%,203.21%,8.23%
Daily Sharpe,4.69,3.44,3.60,5.44,3.15,3.82,2.95,3.58,3.39,3.80,0.28
CAGR,28.01%,20.24%,21.24%,32.63%,18.41%,22.57%,17.23%,21.11%,19.93%,22.47%,1.46%
Max Drawdown,-3.63%,-4.39%,-3.18%,-3.38%,-5.12%,-3.74%,-8.38%,-3.61%,-6.98%,-3.86%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,3.62%,1.99%,2.72%,3.48%,0.28%,2.95%,2.15%,1.00%,-3.01%,-0.31%,0.90%
3m,5.54%,3.45%,4.13%,9.13%,0.50%,4.06%,2.94%,4.50%,2.11%,1.88%,-4.88%
6m,7.74%,7.66%,6.97%,14.49%,4.52%,5.51%,7.90%,2.36%,4.49%,4.54%,-11.40%
YTD,7.83%,6.57%,6.28%,12.79%,3.81%,5.23%,8.74%,1.39%,3.84%,2.92%,-10.28%
1Y,27.53%,19.03%,16.65%,33.63%,15.06%,19.47%,19.59%,17.40%,16.83%,17.26%,-9.39%
