Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,43.53%,-9.29%,126.26%,-13.59%,-4.43%,50.69%,-17.24%,-11.50%,57.17%,-10.14%,7.81%
Daily Sharpe,1.17,-0.29,2.72,-0.43,-0.13,1.31,-0.58,-0.36,1.46,-0.32,0.27
CAGR,6.83%,-1.77%,16.09%,-2.63%,-0.82%,7.78%,-3.40%,-2.21%,8.61%,-1.93%,1.38%
Max Drawdown,-7.80%,-28.89%,-9.63%,-31.20%,-27.69%,-5.58%,-30.79%,-33.41%,-9.70%,-30.47%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.86%,1.35%,-0.05%,-0.91%,-2.51%,-1.37%,-1.69%,-1.94%,0.86%,-2.62%,-1.48%
3m,-1.10%,-4.22%,2.85%,-8.57%,-9.74%,-0.11%,-6.27%,-8.46%,-0.51%,-8.88%,-7.87%
6m,-6.04%,-11.74%,8.02%,-16.48%,-12.89%,-1.50%,-12.84%,-13.04%,-2.32%,-14.14%,-13.88%
YTD,-6.21%,-12.04%,8.31%,-15.55%,-12.91%,-1.43%,-12.51%,-12.12%,-3.31%,-13.58%,-12.51%
