Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,10.39%,14.24%,9.90%,7.76%,51.65%,5.98%,15.36%,4.75%,-15.87%,-18.21%,7.81%
Daily Sharpe,0.35,0.46,0.32,0.27,1.40,0.21,0.49,0.16,-0.53,-0.62,0.27
CAGR,1.82%,2.46%,1.74%,1.38%,7.90%,1.07%,2.65%,0.85%,-3.11%,-3.61%,1.38%
Max Drawdown,-20.47%,-20.89%,-22.70%,-22.35%,-11.49%,-17.49%,-18.71%,-17.48%,-33.72%,-35.00%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-2.56%,-1.63%,-1.73%,-1.48%,-0.18%,0.17%,-0.24%,-0.31%,-1.20%,-1.48%
3m,-3.76%,-8.84%,-5.70%,-8.07%,0.71%,-4.08%,-6.53%,-3.86%,-3.57%,-7.36%,-7.87%
6m,-10.08%,-14.84%,-13.06%,-14.10%,-3.60%,-9.25%,-13.05%,-7.71%,-10.83%,-13.30%,-13.88%
YTD,-8.97%,-13.80%,-11.99%,-13.05%,-2.42%,-8.13%,-11.98%,-7.72%,-9.48%,-12.33%,-12.51%
