Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,7.76%,-17.02%,-5.37%,-11.71%,7.76%,7.76%,7.76%,-37.41%,-11.71%,7.76%,7.81%
Daily Sharpe,0.27,-0.40,-0.12,-0.39,0.27,0.27,0.27,-1.06,-0.39,0.27,0.27
CAGR,1.38%,-3.35%,-1.00%,-2.25%,1.38%,1.38%,1.38%,-8.21%,-2.25%,1.38%,1.38%
Max Drawdown,-22.35%,-33.84%,-22.09%,-39.38%,-22.35%,-22.35%,-22.35%,-42.65%,-39.38%,-22.35%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-4.92%,-4.01%,1.73%,-1.73%,-1.73%,-1.73%,1.73%,1.73%,-1.73%,-1.48%
3m,-8.07%,-2.22%,-6.48%,8.57%,-8.07%,-8.07%,-8.07%,-4.54%,8.57%,-8.07%,-7.87%
6m,-14.10%,-3.71%,-6.58%,15.99%,-14.10%,-14.10%,-14.10%,-15.08%,15.99%,-14.10%,-13.88%
YTD,-13.05%,-3.13%,-4.77%,14.61%,-13.05%,-13.05%,-13.05%,-16.09%,14.61%,-13.05%,-12.51%
