Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,0.42%,-2.54%,0.80%,4.19%,0.60%,1.20%,1.31%,1.02%,4.03%,-2.27%,7.81%
Daily Sharpe,0.03,-0.06,0.05,0.15,0.04,0.06,0.06,0.05,0.15,-0.05,0.27
CAGR,0.08%,-0.47%,0.15%,0.75%,0.11%,0.22%,0.24%,0.19%,0.72%,-0.42%,1.38%
Max Drawdown,-26.21%,-28.67%,-27.37%,-23.60%,-27.17%,-24.04%,-22.35%,-27.21%,-25.04%,-26.46%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.48%
3m,-8.07%,-10.00%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-7.87%
6m,-14.10%,-15.91%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-15.48%,-13.88%
YTD,-13.05%,-14.88%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-14.44%,-12.51%
