Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-100.00%,-100.00%,-99.99%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-99.99%,7.81%
Daily Sharpe,-14.50,-14.42,-14.02,-14.57,-14.30,-14.29,-15.50,-14.85,-14.66,-13.72,0.27
CAGR,-83.74%,-83.72%,-83.61%,-84.51%,-84.35%,-84.36%,-85.98%,-84.82%,-84.27%,-82.96%,1.38%
Max Drawdown,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-99.99%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-11.27%,-11.45%,-9.20%,-13.21%,-10.44%,-9.38%,-13.65%,-7.78%,-9.44%,-10.10%,-1.48%
3m,-38.38%,-36.09%,-40.93%,-41.82%,-35.34%,-35.31%,-40.96%,-35.11%,-31.58%,-33.43%,-7.87%
6m,-59.96%,-58.77%,-65.23%,-64.16%,-58.20%,-58.16%,-64.22%,-58.68%,-56.83%,-60.75%,-13.88%
YTD,-57.05%,-55.77%,-63.46%,-62.17%,-57.05%,-56.32%,-61.74%,-56.33%,-54.73%,-58.32%,-12.51%
