Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,56.08%,-29.13%,60.15%,-57.26%,8.67%,-52.04%,7.76%,-57.46%,-23.47%,-6.87%,7.81%
Daily Sharpe,1.40,-1.02,1.58,-2.39,0.29,-1.92,0.27,-2.33,-0.80,-0.20,0.27
CAGR,8.47%,-6.10%,8.99%,-14.39%,1.53%,-12.56%,1.38%,-14.46%,-4.77%,-1.29%,1.38%
Max Drawdown,-10.51%,-41.80%,-16.64%,-58.19%,-21.18%,-52.63%,-22.35%,-59.24%,-36.07%,-30.75%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.75%,-1.97%,-1.73%,-2.80%,-1.73%,-2.65%,-1.73%,-3.89%,-2.40%,-1.73%,-1.48%
3m,5.96%,-10.46%,-3.88%,-14.73%,-8.07%,-5.50%,-8.07%,-13.48%,-10.16%,-9.57%,-7.87%
6m,4.63%,-18.38%,0.27%,-26.32%,-14.10%,-14.14%,-14.10%,-21.05%,-16.37%,-14.87%,-13.88%
YTD,4.65%,-17.78%,-0.93%,-25.42%,-13.05%,-13.27%,-13.05%,-20.06%,-15.57%,-13.40%,-12.51%
