Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,7.76%,4.44%,7.76%,6.51%,7.76%,7.76%,7.76%,7.76%,7.76%,7.76%,7.81%
Daily Sharpe,0.27,0.16,0.27,0.23,0.27,0.27,0.27,0.27,0.27,0.27,0.27
CAGR,1.38%,0.80%,1.38%,1.16%,1.38%,1.38%,1.38%,1.38%,1.38%,1.38%,1.38%
Max Drawdown,-22.35%,-23.85%,-22.35%,-23.26%,-22.35%,-22.35%,-22.35%,-22.35%,-22.35%,-22.35%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.48%
3m,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-7.87%
6m,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-13.88%
YTD,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-12.51%
