Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,20.69%,78.86%,28.66%,29.03%,91.66%,135.80%,83.85%,75.96%,27.31%,73.43%,7.81%
Daily Sharpe,0.64,1.97,0.86,0.87,2.21,2.93,2.06,1.91,0.82,1.86,0.27
CAGR,3.50%,11.21%,4.71%,4.77%,12.62%,16.97%,11.77%,10.88%,4.51%,10.58%,1.38%
Max Drawdown,-19.31%,-9.02%,-15.31%,-14.63%,-14.80%,-6.46%,-8.13%,-12.46%,-14.15%,-9.72%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.91%,-0.95%,-0.07%,-1.49%,-0.19%,-0.12%,0.20%,-0.06%,-0.72%,-0.32%,-1.48%
3m,-7.12%,-4.77%,-6.44%,-4.89%,-3.00%,0.39%,-0.31%,-3.46%,-5.89%,-2.13%,-7.87%
6m,-13.13%,-5.45%,-10.30%,-8.49%,-8.66%,-0.10%,-2.24%,-4.80%,-9.92%,-5.35%,-13.88%
YTD,-12.07%,-5.43%,-9.70%,-7.37%,-7.29%,0.57%,-1.04%,-3.99%,-8.82%,-4.19%,-12.51%
