Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,161.62%,143.58%,158.44%,230.49%,269.14%,170.19%,279.11%,217.96%,171.00%,187.49%,7.81%
Daily Sharpe,3.29,3.04,3.25,4.14,4.56,3.41,4.66,4.00,3.42,3.63,0.27
CAGR,19.21%,17.66%,18.94%,24.41%,26.95%,19.91%,27.57%,23.54%,19.98%,21.28%,1.38%
Max Drawdown,-4.25%,-5.65%,-3.90%,-4.24%,-3.83%,-3.23%,-2.67%,-3.14%,-3.88%,-4.21%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.37%,1.44%,-0.42%,0.11%,1.42%,0.14%,1.37%,-0.08%,1.39%,1.78%,-1.48%
3m,3.76%,2.19%,3.77%,3.39%,7.62%,3.69%,4.96%,2.89%,2.55%,1.53%,-7.87%
6m,5.28%,3.38%,4.34%,5.06%,10.07%,5.61%,5.76%,4.28%,5.01%,3.15%,-13.88%
YTD,5.43%,3.31%,3.94%,4.54%,9.99%,4.74%,4.50%,4.02%,5.62%,2.98%,-12.51%
1Y,17.02%,17.60%,16.41%,19.96%,29.28%,16.67%,24.74%,19.70%,18.16%,16.46%,-10.57%
