Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-4.03%,-15.06%,11.30%,-21.28%,-4.29%,-15.07%,-13.98%,-10.76%,-16.21%,-13.82%,7.81%
Daily Sharpe,-0.12,-0.52,0.37,-0.78,-0.13,-0.52,-0.48,-0.36,-0.57,-0.47,0.27
CAGR,-0.75%,-2.94%,1.98%,-4.28%,-0.80%,-2.94%,-2.71%,-2.06%,-3.18%,-2.68%,1.38%
Max Drawdown,-10.55%,-23.04%,-11.02%,-27.07%,-14.70%,-17.07%,-15.13%,-16.51%,-18.94%,-18.13%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.96%,-0.17%,1.36%,-1.14%,-0.06%,-0.88%,0.37%,-0.16%,-0.89%,0.33%,-1.48%
3m,-1.39%,0.17%,1.41%,-0.07%,0.31%,-2.55%,-2.53%,1.65%,0.98%,0.22%,-7.87%
6m,-3.45%,1.26%,0.46%,-2.49%,1.69%,-4.04%,-2.59%,1.55%,-2.07%,-1.55%,-13.88%
YTD,-2.48%,1.26%,-0.55%,-2.11%,2.40%,-4.69%,-1.91%,1.06%,-1.33%,-1.55%,-12.51%
