Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,195.88%,210.19%,177.21%,198.81%,191.60%,190.94%,190.37%,217.82%,222.67%,156.87%,7.81%
Daily Sharpe,3.74,3.91,3.50,3.77,3.68,3.67,3.67,4.00,4.05,3.23,0.27
CAGR,21.92%,22.98%,20.48%,22.14%,21.60%,21.55%,21.50%,23.53%,23.87%,18.81%,1.38%
Max Drawdown,-3.70%,-3.69%,-4.55%,-4.10%,-3.89%,-6.18%,-3.62%,-4.53%,-3.75%,-5.45%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.80%,1.33%,-0.93%,1.37%,-0.61%,1.12%,1.99%,-1.88%,0.68%,0.10%,-1.48%
3m,-1.58%,1.82%,1.67%,1.66%,-0.80%,-0.17%,0.94%,-3.50%,2.29%,0.50%,-7.87%
6m,1.49%,1.96%,3.32%,2.57%,0.29%,1.62%,2.93%,-1.20%,2.44%,1.99%,-13.88%
YTD,1.07%,0.82%,2.96%,2.22%,-0.06%,0.48%,2.57%,-2.71%,1.29%,1.63%,-12.51%
1Y,16.43%,18.52%,20.22%,17.00%,16.13%,14.96%,19.73%,13.64%,14.75%,15.06%,-10.57%
