Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,138.36%,282.56%,305.91%,242.96%,326.41%,213.97%,216.94%,229.22%,253.49%,295.99%,7.81%
Daily Sharpe,2.96,4.69,4.92,4.28,5.11,3.95,3.99,4.13,4.39,4.82,0.27
CAGR,17.20%,27.78%,29.17%,25.26%,30.34%,23.25%,23.46%,24.32%,25.95%,28.59%,1.38%
Max Drawdown,-8.52%,-3.46%,-2.60%,-3.34%,-2.98%,-3.73%,-2.76%,-3.83%,-2.71%,-3.64%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.30%,0.85%,0.86%,0.91%,1.00%,0.82%,0.52%,1.19%,2.30%,2.01%,-1.48%
3m,0.35%,5.88%,3.90%,1.68%,5.63%,2.75%,2.35%,4.02%,3.21%,4.44%,-7.87%
6m,1.89%,7.29%,4.89%,1.00%,10.86%,3.18%,1.68%,3.70%,6.42%,6.06%,-13.88%
YTD,1.82%,7.86%,5.31%,0.06%,9.74%,2.82%,1.24%,3.88%,6.68%,5.66%,-12.51%
1Y,13.87%,25.21%,19.44%,16.02%,27.77%,17.86%,16.04%,19.46%,23.11%,21.47%,-10.57%
