Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-86.50%,-88.25%,-82.90%,-88.21%,-85.55%,-86.78%,-87.01%,-87.59%,-87.40%,-86.46%,7.81%
Daily Sharpe,-6.07,-6.50,-5.36,-6.49,-5.87,-6.14,-6.19,-6.33,-6.28,-6.06,0.27
CAGR,-30.64%,-32.38%,-27.58%,-32.33%,-29.77%,-30.91%,-31.13%,-31.70%,-31.51%,-30.60%,1.38%
Max Drawdown,-86.59%,-88.34%,-82.99%,-88.43%,-85.55%,-86.80%,-87.05%,-87.81%,-87.49%,-86.46%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.19%,-2.61%,-0.74%,-3.00%,-2.68%,-3.11%,-1.33%,-2.78%,-2.20%,-2.30%,-1.48%
3m,-9.81%,-9.08%,-7.43%,-8.09%,-9.30%,-10.02%,-8.80%,-8.26%,-6.94%,-8.17%,-7.87%
6m,-18.47%,-16.90%,-15.49%,-17.66%,-15.27%,-17.73%,-17.12%,-15.22%,-17.47%,-17.19%,-13.88%
YTD,-16.87%,-16.10%,-15.54%,-16.71%,-14.52%,-17.67%,-15.75%,-14.99%,-16.05%,-16.56%,-12.51%
