Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-2.64%,3.46%,-4.58%,-3.05%,-3.18%,-3.81%,-7.57%,-2.41%,5.15%,-0.55%,7.81%
Daily Sharpe,-0.07,0.13,-0.13,-0.08,-0.09,-0.11,-0.24,-0.06,0.19,0.00,0.27
CAGR,-0.49%,0.62%,-0.85%,-0.56%,-0.59%,-0.71%,-1.43%,-0.45%,0.92%,-0.10%,1.38%
Max Drawdown,-28.62%,-22.09%,-26.04%,-25.73%,-29.63%,-24.59%,-25.46%,-24.84%,-20.72%,-20.77%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.81%,-1.71%,-1.73%,-1.53%,-1.96%,-1.68%,-1.22%,-2.05%,-1.19%,-1.32%,-1.48%
3m,-9.17%,-8.29%,-6.95%,-8.70%,-10.65%,-8.03%,-8.11%,-11.20%,-7.12%,-7.64%,-7.87%
6m,-15.45%,-13.97%,-13.16%,-14.77%,-17.72%,-13.99%,-13.18%,-17.21%,-12.10%,-13.01%,-13.88%
YTD,-14.70%,-12.77%,-12.09%,-13.72%,-16.86%,-13.07%,-12.27%,-16.34%,-11.80%,-12.24%,-12.51%
