Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-25.51%,-25.20%,-45.56%,7.76%,-40.41%,-35.34%,-32.52%,-44.97%,-44.88%,-25.06%,7.81%
Daily Sharpe,-0.93,-0.92,-1.90,0.27,-1.62,-1.37,-1.24,-1.87,-1.86,-0.91,0.27
CAGR,-5.24%,-5.17%,-10.52%,1.38%,-9.03%,-7.66%,-6.94%,-10.34%,-10.31%,-5.13%,1.38%
Max Drawdown,-33.85%,-35.54%,-46.45%,-22.35%,-42.34%,-36.74%,-33.04%,-47.15%,-51.06%,-38.63%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-2.14%,-1.73%,-3.43%,-1.73%,-1.73%,-0.59%,-0.83%,-4.01%,-3.10%,-1.73%,-1.48%
3m,-6.96%,-9.64%,-8.53%,-8.07%,-8.18%,-6.28%,-8.20%,-10.70%,-8.89%,-8.02%,-7.87%
6m,-12.76%,-14.43%,-17.10%,-14.10%,-15.86%,-15.79%,-16.50%,-20.05%,-18.33%,-15.99%,-13.88%
YTD,-11.69%,-13.78%,-16.09%,-13.05%,-14.68%,-14.75%,-15.47%,-18.54%,-17.85%,-15.64%,-12.51%
