Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,194.97%,187.56%,184.02%,214.18%,196.76%,228.12%,197.34%,210.46%,226.84%,174.67%,7.81%
Daily Sharpe,3.71,3.62,3.57,3.94,3.73,4.09,3.74,3.89,4.08,3.45,0.27
CAGR,21.85%,21.29%,21.01%,23.27%,21.99%,24.25%,22.03%,23.00%,24.16%,20.28%,1.38%
Max Drawdown,-3.74%,-3.42%,-4.14%,-3.89%,-3.42%,-5.22%,-3.56%,-4.29%,-3.07%,-4.07%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.91%,1.51%,-0.77%,1.21%,-0.47%,1.22%,2.15%,-1.83%,1.10%,0.26%,-1.48%
3m,0.07%,2.95%,-0.46%,2.06%,-0.66%,0.86%,2.03%,-3.15%,3.01%,1.17%,-7.87%
6m,3.93%,2.30%,0.84%,2.81%,0.14%,2.12%,2.45%,0.23%,4.43%,2.01%,-13.88%
YTD,3.47%,1.55%,0.42%,2.97%,-0.28%,1.98%,2.02%,-1.36%,3.17%,1.58%,-12.51%
1Y,20.77%,19.17%,18.82%,18.17%,16.73%,16.36%,20.42%,16.88%,16.74%,16.14%,-10.57%
