Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,7.11%,-7.61%,22.85%,-13.70%,4.19%,-6.66%,-5.93%,0.90%,-7.02%,-4.17%,7.81%
Daily Sharpe,0.25,-0.24,0.70,-0.47,0.16,-0.21,-0.18,0.05,-0.22,-0.12,0.27
CAGR,1.26%,-1.44%,3.83%,-2.66%,0.75%,-1.25%,-1.11%,0.16%,-1.32%,-0.78%,1.38%
Max Drawdown,-8.10%,-18.39%,-8.53%,-21.11%,-11.48%,-11.95%,-8.22%,-10.79%,-12.41%,-14.05%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.84%,-0.28%,1.47%,-0.83%,0.08%,-0.76%,0.46%,-0.02%,-0.82%,0.47%,-1.48%
3m,-0.09%,0.44%,2.52%,0.92%,0.12%,-1.82%,-2.19%,3.17%,1.41%,0.61%,-7.87%
6m,-1.67%,2.07%,2.10%,-0.87%,1.93%,-2.94%,-1.53%,3.79%,-1.07%,-0.72%,-13.88%
YTD,-0.74%,2.02%,1.02%,-0.89%,2.64%,-3.63%,-0.89%,3.24%,-0.49%,-0.77%,-12.51%
