Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,318.09%,308.49%,366.18%,295.81%,342.52%,224.20%,303.80%,311.97%,296.13%,317.30%,7.81%
Daily Sharpe,5.00,4.91,5.42,4.79,5.22,4.05,4.87,4.94,4.79,4.99,0.27
CAGR,29.87%,29.32%,32.48%,28.58%,31.23%,23.98%,29.05%,29.52%,28.60%,29.83%,1.38%
Max Drawdown,-4.44%,-3.31%,-2.00%,-2.14%,-2.50%,-4.21%,-2.30%,-2.55%,-2.55%,-2.90%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.17%,-0.04%,1.06%,1.52%,1.61%,1.90%,1.74%,1.57%,1.08%,1.37%,-1.48%
3m,2.93%,4.48%,5.63%,3.94%,8.23%,1.35%,5.60%,4.00%,3.34%,3.79%,-7.87%
6m,4.80%,7.55%,8.36%,6.75%,10.00%,2.42%,8.60%,8.12%,5.91%,6.98%,-13.88%
YTD,4.57%,7.04%,8.72%,5.46%,9.54%,0.85%,7.82%,7.66%,6.11%,6.48%,-12.51%
1Y,23.02%,26.60%,24.01%,22.77%,28.45%,18.85%,29.97%,25.72%,24.09%,26.21%,-10.57%
