Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-99.39%,-99.49%,-99.12%,-99.42%,-99.28%,-99.30%,-99.35%,-99.45%,-99.37%,-99.28%,7.81%
Daily Sharpe,-11.58,-11.96,-10.74,-11.66,-11.17,-11.26,-11.41,-11.81,-11.50,-11.18,0.27
CAGR,-60.66%,-61.84%,-57.87%,-60.92%,-59.35%,-59.66%,-60.14%,-61.39%,-60.40%,-59.37%,1.38%
Max Drawdown,-99.40%,-99.49%,-99.12%,-99.43%,-99.28%,-99.31%,-99.35%,-99.46%,-99.37%,-99.28%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-6.63%,-6.34%,-3.97%,-5.87%,-6.70%,-6.55%,-3.96%,-6.79%,-4.24%,-6.33%,-1.48%
3m,-21.70%,-22.01%,-19.87%,-19.48%,-22.67%,-20.70%,-17.92%,-22.02%,-18.23%,-20.03%,-7.87%
6m,-37.62%,-39.23%,-35.73%,-37.00%,-36.52%,-35.52%,-35.82%,-36.29%,-37.04%,-37.02%,-13.88%
YTD,-35.43%,-37.71%,-34.79%,-35.51%,-35.76%,-34.69%,-33.77%,-35.35%,-34.99%,-35.77%,-12.51%
