,SYNT
0,1.0005941465305757
1,0.9998732200174709
2,1.0010651221714733
3,1.0001984447419408
4,0.9986964028211417
5,0.9985401949874306
6,0.9985983155320162
7,0.9985343392019823
8,0.9994646574449876
9,1.0014393555129355
10,1.0024557337555637
11,1.0048517824713619
12,1.0028537070055155
13,1.0033699878191755
14,1.0024526356784726
15,1.0003114821589623
16,0.9984830470213842
17,0.9984623473280454
18,0.9985772563610134
19,0.9936770940633256
20,0.9927775220041033
21,0.9923358674054373
22,0.9906038180447545
23,0.9861017814123444
24,0.9850931574060898
25,0.9808044400967054
26,0.9773101427074377
27,0.9765362167353528
28,0.9778505380388625
29,0.9761186930140535
30,0.9765056667925427
31,0.9769072621869156
32,0.977528303015564
33,0.9765940553273129
34,0.9758087410914638
35,0.9773662404941746
36,0.973720967579476
37,0.9692107058114171
38,0.9693369796128088
39,0.9694091091615912
40,0.969457031643161
41,0.9692445342128113
42,0.9744053818211961
43,0.9755523613168505
44,0.9787311842111632
45,0.9814636060575092
46,0.9847670336288662
47,0.988566721011183
48,0.9940091479041058
49,0.9957916117610445
50,0.9971932032146251
51,0.9943607122224752
52,0.9966184569007114
53,0.9948377169311541
54,0.9928026876152083
55,0.9934067302767186
56,0.9932773298872534
57,0.9935706383279589
58,0.9919565076226777
59,0.9895332497479901
60,0.9893572480040529
61,0.9902923002132751
62,0.9881069237146571
63,0.9898199251883867
64,0.9903295670760291
65,0.9908905920684119
66,0.990833538450656
67,0.9896174942359517
68,0.988246914593109
69,0.9863068617045824
70,0.9861389589011933
71,0.9865532444528017
72,0.9857059475507216
73,0.9837226385526688
74,0.9855283707160071
75,0.9873274162539607
76,0.9873249007509138
77,0.9869640850066309
78,0.9883580539137178
79,0.9856404288427466
80,0.9853425023942294
81,0.9878022476895819
82,0.9875008119310461
83,0.9903308831054373
84,0.9931686923471942
85,0.9957401039860009
86,0.9976601122013382
87,0.9983936784830013
88,0.9956751658030175
89,0.9921586141987268
90,0.9932049531408447
91,0.9924937647766696
92,0.9906277726029825
93,0.9882570823308147
94,0.9867306031282915
95,0.9851682214720673
96,0.9794283131710982
97,0.9770433705540396
98,0.97167886184883
99,0.9668216312019731
100,0.9634773267057906
101,0.9594376083308084
102,0.9557598189643487
103,0.9530002769909275
104,0.9536502493874308
105,0.9481476708955805
106,0.9462463740423701
107,0.9447381438814335
108,0.9427066193229924
109,0.9403105840472085
110,0.9393893116983992
111,0.9385413297305143
112,0.9358353627150895
113,0.9339653102281184
114,0.9316462297332366
115,0.9301351574374093
116,0.926689706728536
117,0.926182355251783
118,0.9269107673458599
119,0.9243053470160972
120,0.9228710121385586
121,0.9185099895628994
122,0.9174913116214635
123,0.9160415257440091
124,0.9153671611638962
125,0.9134482756392378
126,0.9133565465885174
127,0.9136142357564565
128,0.9132509198402483
129,0.9122380363799015
130,0.9131622544878313
131,0.9137071285582764
132,0.9134065419768741
133,0.9135546152460567
134,0.9146513476071959
135,0.9137695186447717
136,0.9164104826808959
137,0.915859478825995
138,0.9198443877661876
139,0.9189067572629979
140,0.9192578950528458
141,0.918747935686925
142,0.9181933333106959
143,0.9151523510292755
144,0.9140918022244637
145,0.9132077502760848
146,0.9115053059558748
147,0.9114141573758934
148,0.9091253917999408
149,0.9059444719880544
150,0.9068219855468445
151,0.9034348102443931
152,0.9037628220222416
153,0.9040125036125779
154,0.9043623140096794
155,0.9039734551115559
156,0.9020186220338364
157,0.9033093289035476
158,0.9027143062247276
159,0.903344571566092
160,0.9013768870074226
161,0.9033431127845676
162,0.9052303957070739
163,0.9088094176396104
164,0.9077491057293078
165,0.9099640282773446
166,0.9084792528089849
167,0.9126467607311677
168,0.914362684838637
169,0.9165494945416359
170,0.9180647686406865
171,0.9161447839245545
172,0.9172584010094184
173,0.9172083821768867
174,0.9172564437670283
175,0.9176556010548316
176,0.9166660317028034
177,0.9158691369628272
178,0.9152053114064165
179,0.9149244934943944
180,0.9160697132674549
181,0.9165678748252812
182,0.9198466415677885
183,0.9207434377128436
184,0.9211735765818336
185,0.9218819078829521
186,0.9264997311372419
187,0.9285558560476845
188,0.9332782870942571
189,0.9361855882767534
190,0.9401729400138379
191,0.9415995913192379
192,0.9420926853910281
193,0.9463864373274409
194,0.9464970919103849
195,0.9474650322962914
196,0.9504579832788069
197,0.9510060130555084
